question_id,audit_status,citation_correctness,groundedness,number_accuracy,period_accuracy,region_accuracy,unit_accuracy,definition_accuracy,page_correctness,source_correctness,reviewer_verdict,reviewer_notes
q-001,pending,,,,,,,,,,,
q-002,pending,,,,,,,,,,,
q-003,pending,,,,,,,,,,,
q-004,pending,,,,,,,,,,,
q-005,pending,,,,,,,,,,,
q-006,pending,,,,,,,,,,,
q-007,pending,,,,,,,,,,,
q-008,pending,,,,,,,,,,,
q-009,pending,,,,,,,,,,,
q-010,pending,,,,,,,,,,,
q-011,pending,,,,,,,,,,,
q-012,pending,,,,,,,,,,,
q-013,pending,,,,,,,,,,,
q-014,pending,,,,,,,,,,,
q-015,pending,,,,,,,,,,,
q-016,pending,,,,,,,,,,,
q-017,pending,,,,,,,,,,,
q-018,pending,,,,,,,,,,,
q-019,pending,,,,,,,,,,,
q-020,pending,,,,,,,,,,,
